Region,Mean_Skrobisz_HC,Mean_Skrobisz_IBS,Mean_FS741_HC,Mean_FS741_IBS,SD_Skrobisz_HC,SD_Skrobisz_IBS,SD_FS741_HC,SD_FS741_IBS,N_Skrobisz_HC,N_Skrobisz_IBS,N_FS741_HC,N_FS741_IBS
BrainSegVol,0.753403534883892,0.749131380748355,0.7988917475622861,0.7908670457405113,0.017838828963752,0.016474455868007,0.038554589919592146,0.02973645888498549,19,20,29,49
BrainSegVolNotVent,0.741372809333531,0.738573034595273,0.7858339920108177,0.7760739471741066,0.018798104619581,0.018364392229368,0.03869476865430322,0.031470616668319046,19,20,29,49
CC_Anterior,0.000618440754319,0.000612906435229,0.0005869332558422863,0.0006204176606340347,0.000103643245946,7.8850512317e-05,9.560594696844706e-05,9.272197497997098e-05,19,20,29,49
CC_Central,0.000386321372404,0.000431782791532,0.0003638460906315862,0.0003633545600285163,9.0397672937e-05,8.4890251427e-05,8.249327915692571e-05,9.111329996707332e-05,19,20,29,49
CC_Mid_Anterior,0.000412349578366,0.000441356505695,0.0003608363587867138,0.00037887843584932454,8.7309923862e-05,0.000130205109472,7.135029638882666e-05,0.00010098584908115258,19,20,29,49
CC_Mid_Posterior,0.00037659426337,0.000363168687117,0.00034991802057515167,0.000374836826190298,7.2161525973e-05,6.9413371387e-05,6.649199538176883e-05,7.536495486804926e-05,19,20,29,49
CC_Posterior,0.000645391864617,0.000649042602655,0.0006321444820295933,0.0006687567741862103,0.000127954328787,0.000100499819342,9.696933105698852e-05,0.0001122868347554129,19,20,29,49
CSF,0.000605570587393,0.000602510291082,0.0007118574073431553,0.0007417169746705083,9.2409950956e-05,0.000122005141297,0.00012711839086912294,0.0001295549948006519,19,20,29,49
CerebralWhiteMatterVol,0.302045836941504,0.301326036038711,0.30678964791017554,0.301576390033837,0.014999967478932,0.014613480981549,0.019436955940959903,0.01899124995847237,19,20,29,49
CortexVol,0.308290046948585,0.307796612610849,0.34118280721481037,0.3378942419498197,0.012980424753189,0.017151963042698,0.021084200824868376,0.019675913008417912,19,20,29,49
Left-Accumbens-area,0.000314759397257,0.000340180889333,0.00044028133534083105,0.0004287364100121857,4.8422934235e-05,6.4437229466e-05,7.222151615269326e-05,7.017635789439126e-05,19,20,29,49
Left-Amygdala,0.001182943797273,0.001125895850506,0.001252611285101669,0.0012028212452437836,0.000125012099452,0.000151863365901,0.00013764363927778824,0.00011090260885080029,19,20,29,49
Left-Caudate,0.002387851514321,0.002277648613573,0.002506226530386473,0.002473886634989449,0.00025157620771,0.000210541651426,0.0003133168750711215,0.00031526994703518326,19,20,29,49
Left-Cerebellum-Cortex,0.036282672730768,0.035530252173767,0.0374383946083591,0.037231812887823616,0.00302396814369,0.002560890140991,0.0036329287895843845,0.0035745726908097395,19,20,29,49
Left-Cerebellum-White-Matter,0.009915740283662,0.00970822147933,0.010887578854662716,0.01068767641754579,0.001127732308385,0.001065787811685,0.0010763169692556143,0.0010438390897295007,19,20,29,49
Left-Hippocampus,0.002697480723098,0.002720397115052,0.0029701528424618514,0.0029252841716628022,0.000212428227826,0.000198728409477,0.00027268811364466403,0.00024381724316437117,19,20,29,49
Left-Pallidum,0.001398334561045,0.001347207988809,0.001415011440347983,0.001373198683616994,0.000120351051556,9.6050995252e-05,0.0001555130514777216,9.792348232943089e-05,19,20,29,49
Left-Putamen,0.003364936548116,0.003239947623685,0.0037018987699887662,0.0036207116774322123,0.00032573579001,0.000283523698793,0.00041795070304461823,0.0003690383012736654,19,20,29,49
Left-Thalamus,0.005107293017896,0.004996306996211,0.005384909941929502,0.0052619707264081085,0.000373403012209,0.000240476016762,0.0005168363960693543,0.0004729821666683242,19,20,29,49
Right-Accumbens-area,0.00033628633765,0.000358497188629,0.0005028695391340482,0.000506536458769745,4.3119086879e-05,4.9290339953e-05,6.481581613100666e-05,6.268711218449709e-05,19,20,29,49
Right-Amygdala,0.001246231336089,0.001195907477623,0.0013316159698890688,0.0013234188549053104,0.000119339174714,0.000119525742568,0.00011514076216449134,0.00011502048721574758,19,20,29,49
Right-Caudate,0.00244334985832,0.002357721832159,0.0026077454538897724,0.0025773915068583366,0.000235699113626,0.000237968276775,0.00030984730052211265,0.0003029676636032272,19,20,29,49
Right-Cerebellum-Cortex,0.036520892154109,0.036157001533814,0.038471317988378044,0.038176036881627316,0.003213588823342,0.002636072579246,0.003721701295077461,0.003654396148328053,19,20,29,49
Right-Cerebellum-White-Matter,0.009081480265598,0.00922415445625,0.010217590719283841,0.010230856767315707,0.001056668002603,0.000999608615553,0.0010082284607512851,0.0009547711025159896,19,20,29,49
Right-Hippocampus,0.002824836424406,0.002846532673904,0.0031018715343422896,0.0030335373146107383,0.00021949533467,0.000212176268778,0.0002450439253667142,0.00024123196085752065,19,20,29,49
Right-Pallidum,0.001359548793953,0.001330834961916,0.0013496173980009586,0.0013298753030633287,0.000117403980664,0.000101139589091,0.00015622190006350044,0.00011961585540886111,19,20,29,49
Right-Putamen,0.003360311279612,0.003301588761964,0.003787585166234634,0.003766282421941612,0.000299270491304,0.000279710546259,0.0004177713380208023,0.00037530883100835374,19,20,29,49
Right-Thalamus,0.004883977665169,0.004753271585739,0.005474737725651482,0.005341447790549994,0.000300641686875,0.000239186190948,0.0004735846172150364,0.0004564914908654799,19,20,29,49
SubCortGrayVol,0.039301294206342,0.038549574510653,0.042918873784043,0.042212980372795555,0.001941030180333,0.001617150078715,0.0031861270340774396,0.002739079538140691,19,20,29,49
TotalGrayVol,0.421049189547565,0.418836051116248,0.4599935288729993,0.45568079180757315,0.013758381641986,0.018675897013687,0.02858983230698639,0.025742421137160347,19,20,29,49
WM-hypointensities,0.00047391706594,0.000477403939566,0.0007567326293263484,0.0006069129532991101,0.000145358660888,0.000129447303367,0.0006439713702174325,0.0002741344462605464,19,20,29,49
lhCerebralWhiteMatterVol,0.151012073931378,0.150578837690202,0.15387452279721295,0.15155110200091743,0.007481784079595,0.007418222251893,0.00961206276058573,0.009309402006523302,19,20,29,49
lhCortexVol,0.153392517407796,0.153128638729331,0.170574649521627,0.1689941014758511,0.006203228048493,0.008706044785447,0.010495567677651819,0.01011029553540541,19,20,29,49
rhCerebralWhiteMatterVol,0.151033763010266,0.150747198348568,0.15291512511296254,0.15002528803291956,0.007568947419739,0.007269644431587,0.009898215095472418,0.009751575502563756,19,20,29,49
rhCortexVol,0.154897529540881,0.154667973881245,0.1706081576931833,0.16890014047396862,0.006902131731211,0.008590111811204,0.010674562272768619,0.009646136053322577,19,20,29,49
